Module,BaseAddress,Offset,OffsetName,RegName,Bits,FieldName,Access,Active,Description,"DefaultValue
(After reset)"
,,,,,1,STAGE1_INCL_RB_CENTER,RW,,"1: stage1 include center pixel for red/blue output median 2x2+1
*Default* 0: stage1 do not include center pixel for red/blue output median 2x2",
,,,,,0,STAGE1_INCL_GREEN_CENTER,RW,,"1: stage1 include center pixel for green output median 2x2+1 *Default*
0: stage1 do not include center pixel for green output median 2x2",
,,C08,c_dpcc_set_use,ISP_DPCC_SET_USE,3,STAGE1_USE_FIX_SET,RW,,"1: stage1 use hard coded methods set *Default*
0: stage1 do not use hard coded methods set",
,,,,,2,STAGE1_USE_SET_3,RW,,"1: stage1 use methods set 3
0: stage1 do not use methods set 3 *Default*",
,,,,,1,STAGE1_USE_SET_2,RW,,"1: stage1 use methods set 2
0: stage1 do not use methods set 2 *Default*",
,,,,,0,STAGE1_USE_SET_1,RW,,"1: stage1 use methods set 1 *Default*
0: stage1 do not use methods set 1",
,,C0C,c_dpcc_methods_set1,ISP_DPCC_METHODS_SET_1,12,RG_RED_BLUE1_ENABLE,RW,,"red-blue1通道的检查enable：
1. Rank Gradient check
2. Rank Neighbor Difference check
3. Rank Order check
4. Line check
5. Peak Gradient check",
,,,,,11,RND_RED_BLUE1_ENABLE,RW,,,
,,,,,10,RG_RED_BLUE1_ENABLE,RW,,,
,,,,,9,LC_RED_BLUE1_ENABLE,RW,,,
,,,,,8,PG_RED_BLUE1_ENABLE,RW,,,
,,,,,4,RG_GREEN1_ENABLE,RW,,"green1通道的检查enable：
1. Rank Gradient check
2. Rank Neighbor Difference check
3. Rank Order check
4. Line check
5. Peak Gradient check",
,,,,,3,RND_GREEN1_ENABLE,RW,,,
,,,,,2,RG_GREEN1_ENABLE,RW,,,
,,,,,1,LC_GREEN1_ENABLE,RW,,,
,,,,,0,PG_GREEN1_ENABLE,RW,,,
,,C10,c_dpcc_methods_set2,ISP_DPCC_METHODS_SET_2,12,RG_RED_BLUE2_ENABLE,RW,,"red-blue2通道的检查enable：
1. Rank Gradient check
2. Rank Neighbor Difference check
3. Rank Order check
4. Line check
5. Peak Gradient check",
,,,,,11,RND_RED_BLUE2_ENABLE,RW,,,
,,,,,10,RG_RED_BLUE2_ENABLE,RW,,,
,,,,,9,LC_RED_BLUE2_ENABLE,RW,,,
,,,,,8,PG_RED_BLUE2_ENABLE,RW,,,
,,,,,4,RG_GREEN2_ENABLE,RW,,"green2通道的检查enable：
1. Rank Gradient check
2. Rank Neighbor Difference check
3. Rank Order check
4. Line check
5. Peak Gradient check",
,,,,,3,RND_GREEN2_ENABLE,RW,,,
,,,,,2,RG_GREEN2_ENABLE,RW,,,
,,,,,1,LC_GREEN2_ENABLE,RW,,,
,,,,,0,PG_GREEN2_ENABLE,RW,,,
,,C14,c_dpcc_methods_set3,ISP_DPCC_METHODS_SET_3,12,RG_RED_BLUE3_ENABLE,RW,,"red-blue3通道的检查enable：
1. Rank Gradient check
2. Rank Neighbor Difference check
3. Rank Order check
4. Line check
5. Peak Gradient check",
,,,,,11,RND_RED_BLUE3_ENABLE,RW,,,
,,,,,10,RG_RED_BLUE3_ENABLE,RW,,,
,,,,,9,LC_RED_BLUE3_ENABLE,RW,,,
,,,,,8,PG_RED_BLUE3_ENABLE,RW,,,
,,,,,4,RG_GREEN3_ENABLE,RW,,"green3通道的检查enable：
1. Rank Gradient check
2. Rank Neighbor Difference check
3. Rank Order check
4. Line check
5. Peak Gradient check",
,,,,,3,RND_GREEN3_ENABLE,RW,,,
,,,,,2,RG_GREEN3_ENABLE,RW,,,
,,,,,1,LC_GREEN3_ENABLE,RW,,,
,,,,,0,PG_GREEN3_ENABLE,RW,,,
,,C18,c_dpcc_line_thresh_1,ISP_DPCC_LINE_THRESH_1,15:8,LINE_THR_1_RB,RW,,1. line threshold for set 1 red/blue,
,,,,,7:0,LINE_THR_1_G,RW,,2. line threshold for set 1 green,
,,C1C,c_dpcc_line_mad_fac_1,ISP_DPCC_LINE_MAD_FAC_1,13:8,LINE_MAD_FAC_1_RB,RW,,3. line Mean Absolute Difference (MAD) factor for set 1 red/blue,
,,,,,5:0,LINE_MAD_FAC_1_G,RW,,4. line Mean Absolute Difference (MAD) factor for set 1 green,
,,C20,c_dpcc_pg_fac_1,ISP_DPCC_PG_FAC_1,13:8,PG_FAC_1_RB,RW,,5. Peak gradient factor for set 1 red/blue,
,,,,,5:0,PG_FAC_1_G,RW,,6. Peak gradient factor for set 1 green,
,,C24,c_dpcc_rnd_thresh_1,ISP_DPCC_RND_THRESH_1,15:8,RND_THR_1_RB,RW,,7. Rank Neighbor Difference threshold for set 1 red/blue,
,,,,,7:0,RND_THR_1_G,RW,,8. Rank Neighbor Difference threshold for set 1 green,
,,C28,c_dpcc_rg_fac_1,ISP_DPCC_RG_FAC_1,13:8,RG_FAC_1_RB,RW,,9. Rank gradient factor for set 1 red/blue,
,,,,,5:0,RG_FAC_1_G,RW,,10. Rank gradient factor for set 1 green,
,,C2C,c_dpcc_line_thresh_2,ISP_DPCC_LINE_THRESH_2,15:8,LINE_THR_2_RB,RW,,1. line threshold for set 2 red/blue,
,,,,,7:0,LINE_THR_2_G,RW,,2. line threshold for set 2 green,
,,C30,c_dpcc_line_mad_fac_2,ISP_DPCC_LINE_MAD_FAC_2,13:8,LINE_MAD_FAC_2_RB,RW,,3. line Mean Absolute Difference (MAD) factor for set 2 red/blue,
,,,,,5:0,LINE_MAD_FAC_2_G,RW,,4. line Mean Absolute Difference (MAD) factor for set 2 green,
,,C34,c_dpcc_pg_fac_2,ISP_DPCC_PG_FAC_2,13:8,PG_FAC_2_RB,RW,,5. Peak gradient factor for set 2 red/blue,
,,,,,5:0,PG_FAC_2_G,RW,,6. Peak gradient factor for set 2 green,
,,C38,c_dpcc_rnd_thresh_2,ISP_DPCC_RND_THRESH_2,15:8,RND_THR_2_RB,RW,,7. Rank Neighbor Difference threshold for set 2 red/blue,
,,,,,7:0,RND_THR_2_G,RW,,8. Rank Neighbor Difference threshold for set 2 green,
,,C3C,c_dpcc_rg_fac_2,ISP_DPCC_RG_FAC_2,13:8,RG_FAC_2_RB,RW,,9. Rank gradient factor for set 2 red/blue,
,,,,,5:0,RG_FAC_2_G,RW,,10. Rank gradient factor for set 2 green,
,,C40,c_dpcc_line_thresh_3,ISP_DPCC_LINE_THRESH_3,15:8,LINE_THR_3_RB,RW,,1. line threshold for set 3 red/blue,
,,,,,7:0,LINE_THR_3_G,RW,,2. line threshold for set 3 green,
,,C44,c_dpcc_line_mad_fac_3,ISP_DPCC_LINE_MAD_FAC_3,13:8,LINE_MAD_FAC_3_RB,RW,,3. line Mean Absolute Difference (MAD) factor for set 3 red/blue,
,,,,,5:0,LINE_MAD_FAC_3_G,RW,,4. line Mean Absolute Difference (MAD) factor for set 3 green,
,,C48,c_dpcc_pg_fac_3,ISP_DPCC_PG_FAC_3,13:8,PG_FAC_3_RB,RW,,5. Peak gradient factor for set 3 red/blue,
,,,,,5:0,PG_FAC_3_G,RW,,6. Peak gradient factor for set 3 green,
,,C4C,c_dpcc_rnd_thresh_3,ISP_DPCC_RND_THRESH_3,15:8,RND_THR_3_RB,RW,,7. Rank Neighbor Difference threshold for set 3 red/blue,
,,,,,7:0,RND_THR_3_G,RW,,8. Rank Neighbor Difference threshold for set 3 green,
,,C50,c_dpcc_rg_fac_3,ISP_DPCC_RG_FAC_3,13:8,RG_FAC_3_RB,RW,,9. Rank gradient factor for set 3 red/blue,
,,,,,5:0,RG_FAC_3_G,RW,,10. Rank gradient factor for set 3 green,
,,C54,c_dpcc_ro_limits,ISP_DPCC_RO_LIMITS,11:10,RO_LIM_3_RB,RW,,11. Rank order limit for set 3 red/blue,
,,,,,9:8,RO_LIM_3_G,RW,,12. Rank order limit for set 3 green,
,,,,,7:6,RO_LIM_2_RB,RW,,11. Rank order limit for set 2 red/blue,
,,,,,5:4,RO_LIM_2_G,RW,,12. Rank order limit for set 2 green,
,,,,,3:2,RO_LIM_1_RB,RW,,11. Rank order limit for set 1 red/blue,
,,,,,1:0,RO_LIM_1_G,RW,,12. Rank order limit for set 1 green,
,,C58,c_dpcc_rnd_offs,ISP_DPCC_RND_OFFS,11:10,RND_OFFS_3_RB,RW,,13. Rank Offset to Neighbor for set 3 red/blue,
,,,,,9:8,RND_OFFS_3_G,RW,,14. Rank Offset to Neighbor for set 3 green,
